Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,70.3,1768.5,374.8, Monster,   True,-45,-20,0,-65,37,-15,-100,141,26,68,12,77,   K, Trip SH9, Trip SHJ, Trip HDQ, FullH 8, Four 4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1004.8,-212.7,1044.6,     Ok,   True,12,-20,0,-8,35,60,320,495,875,73,14,77,  HA, Pair Q, Trip SD9, Four 5, Four 7, Four T, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-2086.3,-561.1,-1138.8,     Ok,  False,0,-10,-40,-50,36,480,80,102,662,70,17,77,   K, Trip SS2, Trip SS6, Trip HC8, Flush Q, Four 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,1,-570.6,869.6,1749.7,   Good,   True,58,-20,0,38,37,-15,-100,-46,-161,67,12,77,   K, Pair Q, Trip HD5, Four J, Four A, SixSF 8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-1238.4,493.5,-548.5,     Ok,   True,-91,-20,0,-111,30,-520,-240,-634,-1394,68,8,77,   K, Trip SH4, Trip HD8, Trip SHA, Flush K, FullH 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,-714.4,1304.8,2919.7, Monster,   True,66,90,40,196,43,10,40,-58,-8,69,13,77,   Q, Trip SHT, Trip SDK, Four 2, Four 7, Five A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-776.1,481,644.7,     Ok,   True,9,-20,0,-11,37,-35,-100,150,15,69,12,78,   K, Trip SS9, Trip SHK, Trip HDA, Flush K, Four 2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1146.2,-177.1,-436.5,     Ok,   True,-10,-20,0,-30,35,40,320,485,845,74,14,78,  SA, Pair 7, Pair J, Trip SHQ, Four 5, Five 9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,1,-1892.7,-526.3,465.3,     Ok,  False,0,-10,-40,-50,37,470,40,102,612,70,17,78,   A, Pair 5, Pair T, Pair K, FiveSF 7, SevenSF Q, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1717.3,-707.1,-338.3,    Sad,  False,0,-10,-40,-50,37,-25,-140,-46,-211,67,12,78,   K, Trip HH3, Trip SD7, Trip DD8, Four 4, Four 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-789.7,1150.9,579.8, Monster,   True,22,80,80,182,31,-440,-160,-612,-1212,69,9,78,   A, Trip SCJ, Trip SSQ, Trip HDA, Flush T, FullH 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,-1401.3,784.5,127.2,   Good,   True,-21,-20,0,-41,44,-10,40,-79,-49,70,13,78,   K, Trip HHT, Trip SHJ, Trip SSQ, Flush T, FullH 2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-1948.8,-85.2,-85,     Ok,   True,-52,-20,0,-72,37,-55,-100,98,-57,70,12,79,   A, Trip SS4, Trip SD9, Trip HDT, Flush K, Five 5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1143.6,773.6,1185.4,   Good,   True,0,-20,0,-20,35,20,320,485,825,75,14,79,  CQ, Trip SH7, Trip SHK, Trip SHA, Four 2, FiveSF 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,1,-1923.1,-740.1,593,    Sad,  False,0,-10,-40,-50,38,460,0,102,562,70,17,79,   K, Trip SST, Trip HDJ, Trip SDQ, Straight 9, FiveSF A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-2009.6,-1418.2,-1348.8,    Sad,  False,0,-10,-40,-50,37,-35,-180,-46,-261,67,12,79,   A, Pair 9, Pair J, Pair Q, Four 3, Four 4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-981.6,452.9,573,     Ok,   True,-34,-20,0,-54,32,-460,-160,-646,-1266,70,9,79,9, Trip SCJ, Trip HHQ, Trip SHK, FullH 3, Four 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,1056.9,2538.8,2967.3, Monster,   True,86,80,80,246,45,70,120,7,197,71,14,79,   K, Pair 7, Four 8, Four T, Four A, FiveSF K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-1068.8,350.1,587.6,     Ok,   True,-6,-20,0,-26,37,-75,-100,92,-83,71,12,80,   T, Trip DDQ, Trip HHQ, Trip SDA, FullH 6, FullH J, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1823.4,-399.6,257.5,     Ok,   True,-31,-20,0,-51,35,0,320,454,774,76,14,80,  SJ, Trip SS6, Trip SHK, Trip HDA, Flush K, Four 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,1,-1127.2,784.6,513.2,   Good,   True,-6,-20,0,-26,39,440,0,96,536,71,17,80,   A, Pair 5, Pair K, Four 4, Four 9, Four T, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1604.8,-153.5,-574.4,     Ok,   True,-95,-20,0,-115,37,-55,-180,-141,-376,68,12,80,   A, Trip HD6, Trip SD7, Trip HH9, FullH 4, FullH 5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-1104.8,666.6,105.1,   Good,   True,-45,-20,0,-65,33,-480,-160,-691,-1331,71,9,80,   K, Trip CC8, Trip SHJ, Trip SDA, Flush T, Flush K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,-1457.6,-202.4,3281.7,     Ok,   True,183,100,0,283,46,170,120,190,480,72,15,80,   J, Pair Q, Four 3, Four T, FiveSF 8, Five 2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-968.7,200.5,-182.5,     Ok,   True,-19,-20,0,-39,37,-95,-100,73,-122,72,12,81,   A, Pair Q, Trip SS3, Trip SH4, Flush 7, Seven K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1369.3,394.9,599,     Ok,   True,-46,-20,0,-66,35,-20,320,408,708,77,14,81,  SQ, Trip HDT, Trip DCJ, Trip DCA, FullH 8, Four 7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-1435.7,203.2,-654.3,     Ok,   True,-53,-20,0,-73,39,420,0,43,463,72,17,81,   K, Pair 8, Pair Q, Trip SH5, Four 7, Five 9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1749.9,-815.6,378.4,    Sad,  False,0,-10,-40,-50,37,-65,-220,-141,-426,68,12,81,   T, Trip DC8, Trip SHQ, Trip SHA, Flush A, Four 4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-1088,-317.6,1303,     Ok,   True,13,-20,0,-7,34,-500,-160,-678,-1338,72,9,81,   T, Trip SHJ, Trip SDK, Trip SDA, FullH 2, Five 9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,624,2209.1,2705.5, Monster,   True,105,90,40,235,47,260,160,295,715,73,16,81,   K, Pair T, Four 5, Four 6, Four J, FiveSF J, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-1755.8,-198.8,-296.6,     Ok,   True,-87,-20,0,-107,37,-115,-100,-14,-229,73,12,82,   A, Trip SH6, Trip SH9, Trip SHK, Flush 9, FullH 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-207.7,1442.7,1383.7, Monster,   True,83,100,0,183,35,80,320,491,891,78,15,82,  SQ, Pair 8, Trip SHT, Four 7, Four K, Four A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,1,-2053.7,32.3,734,     Ok,   True,11,-20,0,-9,40,400,0,54,454,73,17,82,   Q, Trip SH7, Trip SH9, Trip SSK, Flush A, SixSF A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,1,-1107.4,600.5,801.4,   Good,   True,11,-20,0,-9,38,-85,-220,-130,-435,69,12,82,   A, Pair 6, Pair Q, Four 5, Four J, FiveSF A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,0,-1751.6,-140.1,1155.3,     Ok,   True,2,-20,0,-18,34,-520,-160,-676,-1356,73,9,82,   Q, Pair 6, Trip SDT, Four 4, Four 8, FiveSF A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,-1552.3,717.2,-16.8,   Good,   True,-20,-20,0,-40,48,240,160,275,675,74,16,82,   Q, Trip DD7, Trip SSJ, Trip SSA, Flush T, Flush K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-1919,434.1,655.9,     Ok,   True,-21,-20,0,-41,37,-135,-100,-35,-270,74,12,83,   K, Trip SH9, Trip DDK, Trip HDA, Flush J, Four 7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1545.4,-172.1,-617.2,     Ok,   True,-116,-20,0,-136,35,60,320,375,755,79,15,83,  HA, Trip DD6, Trip SS7, Trip SDQ, Flush T, Flush A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,1,-5.4,2110.6,897.1, Monster,   True,-17,-20,0,-37,41,380,0,37,417,74,17,83,   K, Pair J, Trip SSQ, Trip SDA, Four 8, SixSF 7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,1,-770.3,765.3,1211.4,   Good,   True,62,-20,0,42,39,-105,-220,-68,-393,70,12,83,   K, Pair 2, Pair 4, Four 5, Four J, SixSF 8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-658.8,1358,3686.3, Monster,   True,168,100,0,268,35,-420,-160,-508,-1088,74,10,83,   J, Trip SCA, Four 3, Four 4, Four 8, Four Q, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,0,-437.7,189.9,79.6,     Ok,   True,-76,-20,0,-96,48,220,160,199,579,75,16,83,   A, Trip HD9, Trip HDT, Trip SHK, Flush Q, Flush K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-1779.4,-493.5,990.1,     Ok,   True,58,100,0,158,37,-35,-100,23,-112,75,13,84,   A, Pair T, Trip SD5, Four 2, Four 8, Five 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,1,-1143,1565.6,554.6, Monster,   True,-23,-20,0,-43,36,40,320,352,712,80,15,84,  DQ, Trip SH9, Trip SHT, Trip DCK, Straight 8, Five 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-1711.7,112.1,635.7,     Ok,   True,-15,-20,0,-35,41,360,0,22,382,75,17,84,   Q, Trip HD9, Trip SSK, Trip SDA, Flush Q, Four 7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,1,-1327.3,99.5,738.2,     Ok,   True,25,-20,0,5,40,-125,-220,-43,-388,71,12,84,   A, Trip HCT, Trip SHJ, Trip HDK, Straight 9, FiveSF A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-515.3,1017.2,223.6, Monster,   True,-34,-20,0,-54,36,-440,-160,-542,-1142,75,10,84,   K, Trip SS4, Trip SDQ, Trip SDA, Straight J, FiveSF 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,0,-1492.5,-243.8,324.8,     Ok,   True,-11,-20,0,-31,48,200,160,188,548,76,16,84,   K, Trip SH9, Trip SHJ, Trip SHA, Flush A, FullH 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-942.3,679.9,743.5,   Good,   True,-2,-20,0,-22,37,-55,-100,21,-134,76,13,85,   K, Pair Q, Trip SH7, Four 4, Four 6, Four A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,1,-1442.5,418.1,496.9,     Ok,   True,-26,-20,0,-46,37,20,320,326,666,81,15,85,  CQ, Trip HD8, Trip SD9, Trip HDK, FullH 3, Five 5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-959.6,676.9,827.5,   Good,   True,-24,-20,0,-44,41,340,0,-2,338,76,17,85,   K, Trip SSJ, Trip SHQ, Trip HDA, FullH 9, Four 5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1846.9,228.3,1127.7,     Ok,   True,43,100,0,143,40,-25,-220,0,-245,72,13,85,   A, Pair K, Trip HD7, Four 9, Four T, Four J, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-1303.1,179.9,-52.6,     Ok,   True,-6,-20,0,-26,37,-460,-160,-548,-1168,76,10,85,   K, Pair A, Trip SH2, Trip HD3, Four Q, SixSF 9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,-775.3,517.8,1228.9,   Good,   True,15,-20,0,-5,49,180,160,203,543,77,16,85,   A, Pair T, Trip SHK, Four 2, Four 6, Four 7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-1883.7,-93,-380.7,     Ok,   True,-6,-20,0,-26,37,-75,-100,15,-160,77,13,86,   A, Trip SH4, Trip SSJ, Trip SHK, Straight T, Flush A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,2,-1453.3,544,591.6,   Good,   True,54,90,40,184,39,110,360,380,850,82,16,86,  DA, Trip HHJ, Trip SSQ, Trip SHK, FullH 5, FullH 8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-1724,-636.8,-835.8,    Sad,  False,0,-10,-40,-50,41,330,-40,-2,288,76,17,86,   A, Trip DC4, Trip HH5, Trip HH9, Flush A, Four 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1106.5,477.6,-96.6,     Ok,   True,4,-20,0,-16,40,-45,-220,4,-261,73,13,86,   K, Trip HD7, Trip HHT, Trip SDA, Flush J, Flush K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,0,-1784.1,-317.8,-287,     Ok,   True,-36,-20,0,-56,37,-480,-160,-584,-1224,77,10,86,   A, Trip SD3, Trip DC9, Trip DCK, Flush Q, FiveSF 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,1,-1359.1,694.7,-642.8,   Good,   True,-16,-20,0,-36,50,160,160,187,507,78,16,86,   A, Pair T, Pair J, Pair K, Four Q, FiveSF A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,1,-1415.3,-42.9,147.9,     Ok,   True,-4,-20,0,-24,38,-95,-100,11,-184,78,13,87,   Q, Trip HD4, Trip SSK, Trip SHA, FullH 3, Four 2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1796.4,-17,-354.5,     Ok,   True,-48,-20,0,-68,39,90,360,332,782,83,16,87,  DA, Trip HD7, Trip HD8, Trip DCK, Flush K, Flush A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,2,-1447.3,780.3,727.2,   Good,   True,30,100,0,130,43,430,-40,28,418,77,18,87,   A, Pair 6, Pair T, Pair J, Five 5, SevenSF A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1860.7,120.3,-223.4,     Ok,   True,-13,-20,0,-33,40,-65,-220,-9,-294,74,13,87,   A, Trip SS7, Trip SCT, Trip HDQ, Straight 6, Flush A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,0,-1398.8,-458.1,94.2,     Ok,   True,13,-20,0,-7,37,-500,-160,-571,-1231,78,10,87,   A, Trip SH8, Trip SH9, Trip SHA, Flush K, FullH 4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,0,-1672.8,-3,291.5,     Ok,   True,22,-20,0,2,50,140,160,209,509,79,16,87,   K, Pair 7, Pair 9, Four 2, Four 8, Four J, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-1160.2,442.6,412.9,     Ok,   True,35,-20,0,15,38,-115,-100,46,-169,79,13,88,   A, Trip DCJ, Trip SHJ, Trip SSK, Flush K, FullH 8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-2136.4,-471.3,-909.6,     Ok,   True,-37,-20,0,-57,39,70,360,295,725,84,16,88,  HA, Trip HC4, Trip DC5, Trip SS6, Flush T, Four 9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-1783.1,-335.3,-811.4,     Ok,   True,-33,-20,0,-53,43,410,-40,-5,365,78,18,88,   A, Pair J, Trip DDK, Trip SHK, Flush T, Flush A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1325.8,318.4,-251.4,     Ok,   True,-5,-20,0,-25,40,-85,-220,-14,-319,75,13,88,   A, Pair 9, Pair T, Trip DD8, Four 2, Six 7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,2,-799.1,1830.4,1270.6, Monster,   True,93,100,0,193,39,-400,-160,-478,-1038,79,11,88,   K, Trip SHT, Trip SSQ, Trip SHA, Four 4, Four 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,0,-1742.8,63.7,-863.3,     Ok,   True,-53,-20,0,-73,50,120,160,156,436,80,16,88,   A, Trip SH2, Trip DC9, Trip HHQ, Flush J, Flush A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,238.7,690.6,596.6,   Good,   True,45,90,40,175,38,-25,-60,91,6,80,14,89,   K, Trip SHT, Trip DDJ, Trip HDK, FullH 3, Four Q, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1098,667.7,599.5,   Good,   True,37,-20,0,17,39,50,360,332,742,85,16,89,  HK, Trip SH9, Trip HCA, Trip SSA, FullH 2, FullH 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,1,-1695,-200.4,-61.1,     Ok,   True,-38,-20,0,-58,44,390,-40,-43,307,79,18,89,   Q, Trip SS7, Trip SH9, Trip SHA, FullH 2, FullH 4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,1,-698.6,978.2,8.3,   Good,   True,-49,-20,0,-69,41,-105,-220,-63,-388,76,13,89,   A, Trip SD6, Trip SC7, Trip SHJ, Flush Q, Five 5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,-775.5,1222.9,360, Monster,   True,5,-20,0,-15,40,-420,-160,-473,-1053,80,11,89,   K, Trip HH8, Trip SHK, Trip SSA, Straight K, FullH 4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,0,-1956.4,-765.5,-1031.7,    Sad,  False,0,-10,-40,-50,50,110,120,156,386,80,16,89,   A, Trip SH5, Trip DC6, Trip HD7, Straight K, Flush T, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,2,-654.4,1520.5,2926.3, Monster,   True,118,100,0,218,40,75,-60,209,224,81,15,90,   J, Pair T, Four 4, Four Q, Four A, FiveSF K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1907.4,-213.8,309.2,     Ok,   True,-27,-20,0,-47,39,30,360,305,695,86,16,90,  SQ, Trip SH6, Trip SS9, Trip HDK, FullH 5, Five 2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-1887.3,200.7,511.5,     Ok,   True,-46,-20,0,-66,44,370,-40,-89,241,80,18,90,   A, Pair 6, Pair 7, Four 3, Four T, Four J, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1448.5,203.4,13.3,     Ok,   True,-4,-20,0,-24,41,-125,-220,-67,-412,77,13,90,   A, Pair 3, Pair K, Trip SDJ, FiveSF T, Five 7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,1,352.5,1898.4,954.9, Monster,   True,-23,-20,0,-43,41,-440,-160,-496,-1096,81,11,90,9, Trip SSQ, Trip SHK, Trip SHA, Straight 7, FiveSF 9, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,0,-930.7,183.1,-74.5,     Ok,   True,-18,-20,0,-38,50,90,120,138,348,81,16,90,   A, Pair 5, Pair T, Trip SH9, FiveSF 7, Five 8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-815.4,762.3,878.5,   Good,   True,32,-20,0,12,40,55,-60,241,236,82,15,91,8, Trip HD9, Trip SDJ, Trip SDK, FullH 7, Five T, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,1,-1068.4,883,916.1,   Good,   True,36,-20,0,16,40,10,360,341,711,87,16,91,  CQ, Pair 7, Pair 9, Four 4, Four J, Five K, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Ming  ,0,0,-1350.6,-201.4,433.5,     Ok,   True,-20,-20,0,-40,44,350,-40,-109,201,81,18,91,   K, Trip HD3, Trip HD5, Trip SS8, Four A, Five 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Tony  ,0,0,-1836,212.9,-174.4,     Ok,   True,-44,-20,0,-64,41,-145,-220,-111,-476,78,13,91,   K, Trip SD7, Trip HD8, Trip SHA, FullH 2, FullH 3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Edmond,0,2,-836.9,713.6,1069.6,   Good,   True,47,100,0,147,43,-340,-160,-449,-949,82,12,91,   K, Trip SSJ, Trip SHQ, Trip HDA, FullH 8, FiveSF 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Philip,0,0,-1058.9,262.5,-180.2,     Ok,   True,-51,-20,0,-71,50,70,120,87,277,82,16,91,   A, Trip HD4, Trip SC9, Trip SDQ, Flush K, FiveSF 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Peter ,0,0,-33.8,928.2,961.9,   Good,   True,2,-20,0,-18,40,35,-60,243,218,83,15,92,   Q, Trip SH6, Trip HDJ, Trip HDK, Flush T, Six 4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-500, Johnny,0,0,-1754.2,-266.4,165.4,     Ok,   True,1,-20,0,-19,40,-10,360,342,692,88,16,92,  SK, Trip SH9, Trip SST, Trip SDA, Flush Q, Flush A, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
