Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,620.5,1237.325,688, Not Ok,  False,0,-40,-10,200,0,270,2,6,   A, Pair 9, Pair T, Pair K, FullH 2, Five 8, (688.0, (11404, 100.0), (20914, 25.3), (21012, 10.5), (21311, 6.1), (70205, 76.3), (100800, 469.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,173,1217.125,947, Not Ok,  False,0,-40,-10,-40,-26,-76,1,7,   A, Trip HH4, Trip SH9, Trip HCQ, Flush K, Flush A, (947.0, (11401, 56.2), (40433, 449.0), (40943, 314.2), (41231, 88.3), (61311, 29.9), (61410, 9.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,527.5,1525.7,1182.3, Not Ok,  False,0,-40,-10,-40,28,-22,1,7,  HK, Trip HD6, Trip SDT, Trip HDK, FullH 4, FullH 5, (1182.3, (11303, 39.8), (40632, 545.7), (41042, 350.6), (41332, 123.4), (70414, 99.4), (70507, 23.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,2,501.8,1942.8,1413.1,     Ok,   True,-49,0,-20,0,-11,-31,1,7,   A, Trip SD9, Trip SHT, Trip SDQ, FullH 3, FullH 6, (1413.1, (11403, 82.5), (40942, 755.0), (41043, 365.6), (41242, 99.8), (70302, 84.8), (70604, 25.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,584.8,1603.35,1628.2,     Ok,   True,-16,0,-20,-160,-53,-313,0,7,   A, Trip SST, Trip SSJ, Trip SHA, Flush Q, Flush A, (1628.2, (11404, 100.0), (41044, 837.5), (41144, 440.2), (41443, 218.1), (61208, 20.0), (61413, 12.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,189.1,1183.725,1035.3,    Sad,  False,0,-40,-10,-80,-3,-83,1,7,   A, Pair J, Pair K, Trip SH8, Four 7, FiveSF 6, (1035.3, (11403, 82.5), (21109, 32.5), (21305, 18.8), (40843, 44.8), (80710, 560.5), (90605, 296.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,1230.1,2586.35,3806.8, Monster,   True,65,120,70,320,65,525,3,7,   A, Pair Q, Four 2, Four 9, Four J, FiveSF 8, (3806.8, (11404, 100.0), (21207, 35.1), (80208, 1568.0), (80908, 1145.6), (81110, 651.6), (90807, 306.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,820.3,2133.55,2470.8,   Good,   True,0,200,50,160,-26,174,2,8,   K, Pair Q, Pair A, Four 4, Four J, SixSF 8, (2470.8, (11303, 39.8), (21208, 35.5), (21405, 21.0), (80409, 1025.2), (81110, 651.6), (110807, 697.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,165.5,1178.975,1723.5,    Sad,  False,0,-40,-10,-80,28,-72,1,8,  DK, Trip SDJ, Trip SHQ, Trip SHA, FullH 3, FullH T, (1723.5, (11302, 32.5), (41142, 857.9), (41243, 497.7), (41443, 218.1), (70306, 86.0), (71005, 31.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,223,1118.875,805.9,    Sad,  False,0,-40,-10,-40,-11,-81,1,8,   A, Trip SH2, Trip SD8, Trip HHJ, Straight 7, Flush Q, (805.9, (11403, 82.5), (40243, 386.5), (40842, 257.9), (41133, 73.6), (50706, 2.0), (61210, 3.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
