51413,19.27,40813,4.63,40304,54.99,40204,294.6,40201,705.96,11402,96.29,1175.74,,,,,
51211,26.08,40611,71.94,40400,298.26,21403,86.29,21307,85.55,11200,55,623.12,,,,,
91405,445.3,80805,717.04,21306,8.21,21207,31.02,21110,63.8,11401,99.02,1364.39,,,,,
50908,20.13,40308,69.84,40200,297.39,21306,76.61,21009,63.99,11400,85,612.96,,,,,
90807,401.25,80207,559.04,40804,122.1,21410,35.97,21112,51.22,11301,61.41,1230.99,,,,,
91413,452.35,80813,722.8,41104,206.37,40904,530.94,40603,846.45,11401,99.02,2857.93,,,,,
51211,26.08,40611,71.94,40500,298.59,21407,90.35,20802,47.11,11200,55,589.07,,,,,
51413,34.15,40813,73.22,40600,298.86,40500,590.34,21103,67.42,11400,85,1148.99,,,,,
90807,403.05,80207,566.4,41404,297.12,41204,586.56,21209,56.7,11101,27.37,1937.2,,,,,
51211,26.08,40610,71.94,40500,298.59,21403,86.29,21304,83.58,11100,40,606.48,,,,,
50908,20.13,40307,69.84,21402,93.14,21108,59.51,21002,60.06,11300,70,372.68,,,,,
90908,416,80307,616.24,41104,199.08,21308,34.17,21009,51.75,11202,46.7,1363.94,,,,,
61206,27.67,50605,18.83,41404,296.4,41302,594.96,40904,886.86,11202,46.3,1871.02,,,,,
91312,431.3,80711,676.64,41403,286.68,41004,546.18,40304,751.95,11304,69.98,2762.73,,,,,
91405,445.3,80804,716.88,41204,233.58,40704,475.5,21303,70.66,11101,35.01,1976.93,,,,,
90807,431.6,80206,670.08,41000,200.22,40800,523.74,21309,79.81,11400,100,2005.45,,,,,
51312,28.24,40711,72.61,40600,298.86,40500,590.34,20803,47.63,11400,85,1122.68,,,,,
91110,419,80509,629.36,41204,222.24,41104,568.5,20610,25.84,11402,93.33,1958.27,,,,,
81405,302.64,70804,128.54,80310,1151.76,41304,594.12,40904,1913.2,11102,24.51,4114.77,,,,,
91312,442.95,80710,711.28,40404,78.87,20611,8.97,20512,33.94,11404,100,1376.01,,,,,
91211,430.5,80609,668.4,41104,198.93,40404,365.76,40304,763.2,11403,98.2,2524.99,,,,,
61308,46.23,50706,77.53,41000,299.61,21409,92.24,21207,77.51,11100,40,633.12,,,,,
61308,29.16,50706,21.32,41404,295.62,21207,31.02,20910,51.05,11302,73.26,501.43,,,,,
61308,46.23,50706,77.53,41400,299.97,21011,52.7,20709,44.31,11300,70,590.74,,,,,
91009,430,80407,668,21407,12.41,21210,34.11,20811,46.97,11304,73.98,1265.47,,,,,
91413,445.4,80811,702.72,41304,260.31,41203,585.96,40504,816.75,11402,96.29,2907.43,,,,,
51211,12.96,40609,3.44,40504,90.42,40203,327.06,21309,73.04,11404,100,606.92,,,,,
91413,452.35,80811,721.92,40603,105.93,40403,391.14,21312,74.81,11204,51.1,1797.25,,,,,
61207,24.3,50605,19.57,41000,188.07,40800,505.44,21413,79.85,11300,74.46,891.69,,,,,
51211,13.11,40609,2.43,40504,69.06,40403,320.04,21009,43.7,11401,88.9,537.24,,,,,
61207,25.36,50605,18.98,41204,233.58,40804,503.58,21311,74.23,11104,35.29,891.02,,,,,
91211,426.9,80609,656.08,41104,195.57,40504,385.44,20312,18.98,11403,97.33,1780.3,,,,,
91413,445.55,80811,703.76,41402,286.08,41004,549.66,20712,36.01,11302,68.88,2089.94,,,,,
61409,53.39,50807,79.11,41400,299.97,41200,597.54,20307,26.26,11100,40,1096.27,,,,,
81011,273.84,70409,129.7,41304,232.11,41204,570.78,40803,1781.8,11402,88.11,3076.34,,,,,
81112,282.28,70510,132,41304,232.11,40802,381.48,40603,1577.4,11404,99.98,2705.25,,,,,
91405,445.3,80802,716,41004,185.52,21303,35.08,21204,65.5,11101,35.01,1482.41,,,,,
91211,440,80608,695.52,40404,78.87,21209,33.7,21109,63.92,11404,100,1412.01,,,,,
61208,31.43,50605,18.65,41404,297.09,41203,581.64,41103,896.49,11303,67,1892.3,,,,,
91211,430.5,80608,666,40703,111.81,40504,399,40301,751.23,11404,100,2458.54,,,,,
61208,25.67,50605,18.98,41402,293.82,41304,598.44,40904,887.49,11204,51.1,1875.5,,,,,
61309,27.66,50706,22.86,41300,273.06,40900,548.94,40400,834.3,11200,55.04,1761.86,,,,,
91405,445.3,80802,716,41404,295.62,41204,591,40603,846.45,11302,73.26,2967.63,,,,,
91413,439.55,80810,682.4,41403,282.87,41102,555.3,40404,776.61,11304,68.99,2805.72,,,,,
61208,25.67,50605,18.98,41403,294.54,41103,576.24,40404,806.49,11304,73.54,1795.46,,,,,
61410,41.54,50807,24,41404,297.15,41304,598.68,40504,806.13,11402,93.16,1860.66,,,,,
61410,54.2,50807,79.11,40300,297.87,21110,61,20205,21.55,11400,85,598.73,,,,,
61208,25.43,50605,19.07,41004,186.36,40304,362.58,21312,75.29,11404,100,768.73,,,,,
61208,30.24,50605,18.63,41102,187.29,40202,266.82,21013,49.4,11403,97.33,649.71,,,,,
61309,29.82,50706,21.32,41403,294.54,40601,446.7,21211,69.77,11302,73.26,935.41,,,,,
51413,34.15,40810,73.22,40700,299.07,40400,588.48,20902,53.33,11200,55,1103.25,,,,,
61309,35.22,50706,21.13,41404,296.82,41104,570.6,20910,41.85,11302,66.3,1031.92,,,,,
61410,34.06,50807,17.2,81411,1199.76,40804,407.64,40504,1515,11204,41.18,3214.84,,,,,
61310,47.44,50706,77.53,40800,299.31,21303,73.84,21207,77.51,11100,40,615.63,,,,,
91110,421.15,80506,632.64,21407,9.47,21008,16.08,20911,42.46,11303,68.02,1189.82,,,,,
91312,441.85,80708,705.44,41404,295.62,41001,553.86,40904,887.49,11104,35.29,2919.55,,,,,
61310,38.35,50706,21.22,41404,297.27,41203,580.02,41104,896.85,11304,69.11,1902.82,,,,,
61209,26.39,50605,18.98,41304,263.76,40904,530.94,40804,879.57,11401,99.02,1818.66,,,,,
61209,42.58,50605,75.75,40400,298.26,21206,66.94,21103,67.42,11300,70,620.95,,,,,
90908,435.8,80304,682.4,41400,298.11,41200,593.4,41000,896.76,11100,39.17,2945.64,,,,,
61209,26.39,50605,18.98,41404,295.62,41104,576.78,40903,887.76,11303,73.35,1878.88,,,,,
61209,42.58,50605,75.75,40200,297.39,21105,57.51,20809,50.13,11200,55,578.36,,,,,
91413,442.65,80809,690.88,41403,286.68,41303,595.32,40604,835.11,11001,18.35,2868.99,,,,,
91413,459.95,80809,743.76,41400,298.2,41100,582.96,40300,812.52,11200,54.87,2952.26,,,,,
61310,30.64,50706,21.32,41404,295.62,41303,597.96,40204,746.73,11201,50.62,1742.89,,,,,
61209,42.58,50605,75.75,40300,297.87,21302,73.02,11405,12.48,11100,40,541.7,,,,,
61411,37.86,50807,18.83,41404,285.24,41003,493.08,21112,39.06,11304,66.23,940.3,,,,,
81410,307.92,70806,128.6,41304,235.89,41204,573.3,40904,1913.2,11104,27.1,3186.01,,,,,
80912,268.52,70308,122.04,40603,63.72,40504,302.22,40404,1479.2,11304,66.16,2301.86,,,,,
61310,31.57,50706,16.59,41304,235.89,41104,543.06,21210,43.14,11402,89.15,959.4,,,,,
61310,28.85,50706,15.22,81012,1192.2,41403,595.68,41104,1983.8,11303,61.5,3877.25,,,,,
